iter	Logloss
0	0.6848372459
1	0.6772061348
2	0.6694516659
3	0.6631871223
4	0.6570865631
5	0.6471930981
6	0.6382509232
7	0.6286859512
8	0.6199510098
9	0.6134706974
10	0.6062505722
11	0.5983063698
12	0.5904889584
13	0.5826626778
14	0.5784814835
15	0.5716980934
16	0.5637902737
17	0.5581528664
18	0.553371954
19	0.5471286297
20	0.5422230721
21	0.5354604721
22	0.5279032707
23	0.5218006134
24	0.5186175346
25	0.5123427868
26	0.5055742741
27	0.4992812634
28	0.4928484917
29	0.4868643761
30	0.4810874462
31	0.4744954586
32	0.4685060501
33	0.4639976978
34	0.4582658768
35	0.4543111324
36	0.4490245819
37	0.4433411598
38	0.4383957863
39	0.435099411
40	0.4302015305
41	0.4277529716
42	0.4233623028
43	0.4209357738
44	0.4155962467
45	0.4137763977
46	0.4118248463
47	0.4084564209
48	0.4058056831
49	0.4010514259
50	0.3986625671
51	0.3968769073
52	0.393312788
53	0.3891086578
54	0.3851956129
55	0.3819197655
56	0.3767654657
57	0.3751363039
58	0.3704767227
59	0.3670656204
60	0.3631978512
61	0.3612116814
62	0.3582131386
63	0.3557572842
64	0.3510074854
65	0.3494637489
66	0.3482861519
67	0.3475403309
68	0.3460068226
69	0.3440388203
70	0.3425907373
71	0.340277648
72	0.3386190891
73	0.3365393162
74	0.3324700356
75	0.3300539017
76	0.3285822868
77	0.326020813
78	0.3247187853
79	0.3221050262
80	0.3201830626
81	0.3181246281
82	0.3167128086
83	0.313619709
84	0.3125521183
85	0.3111085415
86	0.3088807821
87	0.3069609404
88	0.3042388678
89	0.3028682232
90	0.3017819405
91	0.3006405115
92	0.2991287231
93	0.2980859756
94	0.2968256712
95	0.2951734543
96	0.2945715666
97	0.2939502954
98	0.2928958416
99	0.2893126488
100	0.2885618925
101	0.2869728565
102	0.2865955353
103	0.2858564854
104	0.2837928295
105	0.2826484919
106	0.2817779064
107	0.2813994169
108	0.2806578875
109	0.2791983128
110	0.2785474777
111	0.2778626442
112	0.2774812937
113	0.2755280733
114	0.2743522644
115	0.2724579334
116	0.2713831902
117	0.2709350109
118	0.2698242188
119	0.2688260555
120	0.2682505608
121	0.2671116352
122	0.2664064407
123	0.2635534763
124	0.2629626751
125	0.2625612497
126	0.262116766
127	0.2598977804
128	0.2586135387
129	0.2581223965
130	0.2572823048
131	0.2566509962
132	0.2561285496
133	0.254798913
134	0.2541733265
135	0.2530811787
136	0.2524258137
137	0.2500868559
138	0.2492703199
139	0.2485506773
140	0.2480543375
141	0.2473081827
142	0.2469060898
143	0.2462993383
144	0.2450932264
145	0.2444802761
146	0.2441811323
147	0.2433674335
148	0.2420126438
149	0.2413383007
150	0.2408837795
151	0.2405362606
152	0.2396152496
153	0.2389998436
154	0.2385537148
155	0.2378506899
156	0.237016964
157	0.2361596346
158	0.2349625587
159	0.2343629122
160	0.2337166548
161	0.2326001406
162	0.2322907209
163	0.2316620588
164	0.2311666012
165	0.2304367781
166	0.2299845695
167	0.2291176796
168	0.2285671711
169	0.2279182434
170	0.2272758007
171	0.2266139507
172	0.224916172
173	0.2245690346
174	0.2240501881
175	0.2222976923
176	0.2218700409
177	0.2213483095
178	0.2209421635
179	0.220741272
180	0.2203986406
181	0.2200613499
182	0.2195163727
183	0.2191066027
184	0.218461585
185	0.2178672791
186	0.2173332691
187	0.2167695522
188	0.2164638519
189	0.2160988569
190	0.2151573181
191	0.2142376423
192	0.2140159369
193	0.2133150578
194	0.2130556107
195	0.2127174854
196	0.2122018814
197	0.2118155003
198	0.2115472078
199	0.2110852242
