iter	Passed	Remaining
0	13	2704
1	21	2125
2	29	1940
3	37	1857
4	46	1806
5	54	1766
6	62	1721
7	70	1683
8	78	1675
9	87	1654
10	95	1637
11	104	1641
12	113	1628
13	121	1620
14	130	1613
15	140	1615
16	149	1605
17	158	1597
18	166	1585
19	175	1580
20	184	1576
21	193	1567
22	202	1555
23	210	1545
24	219	1534
25	228	1529
26	237	1520
27	246	1514
28	255	1508
29	264	1497
30	272	1488
31	281	1478
32	290	1470
33	300	1464
34	309	1458
35	318	1452
36	327	1441
37	336	1435
38	345	1427
39	354	1416
40	363	1408
41	371	1396
42	380	1388
43	388	1378
44	397	1368
45	406	1362
46	415	1351
47	424	1344
48	433	1336
49	442	1328
50	451	1320
51	461	1313
52	470	1304
53	479	1296
54	489	1289
55	498	1282
56	508	1274
57	516	1264
58	525	1255
59	534	1247
60	543	1238
61	552	1230
62	561	1221
63	571	1214
64	582	1210
65	593	1204
66	601	1193
67	610	1185
68	619	1177
69	629	1168
70	638	1159
71	647	1150
72	656	1142
73	666	1134
74	674	1124
75	683	1115
76	692	1106
77	702	1098
78	712	1090
79	720	1081
80	730	1072
81	740	1065
82	749	1057
83	758	1047
84	767	1038
85	781	1036
86	791	1028
87	802	1021
88	811	1012
89	823	1006
90	833	997
91	842	988
92	851	979
93	862	973
94	871	963
95	881	954
96	890	946
97	901	937
98	910	929
99	920	920
100	931	913
101	941	904
102	951	895
103	961	887
104	971	878
105	981	870
106	992	862
107	1003	854
108	1012	845
109	1022	836
110	1032	827
111	1042	818
112	1052	810
113	1063	802
114	1073	793
115	1083	784
116	1094	776
117	1104	767
118	1115	759
119	1125	750
120	1135	741
121	1144	731
122	1154	722
123	1164	713
124	1173	704
125	1183	695
126	1193	686
127	1202	676
128	1212	667
129	1221	657
130	1230	648
131	1239	638
132	1249	629
133	1257	619
134	1267	610
135	1277	601
136	1287	592
137	1296	582
138	1306	573
139	1315	563
140	1325	554
141	1334	545
142	1339	533
143	1348	524
144	1357	514
145	1367	505
146	1376	496
147	1385	486
148	1395	477
149	1405	468
150	1414	459
151	1424	449
152	1434	440
153	1443	431
154	1452	421
155	1462	412
156	1472	403
157	1482	394
158	1492	384
159	1501	375
160	1512	366
161	1520	356
162	1530	347
163	1541	338
164	1550	328
165	1559	319
166	1567	309
167	1577	300
168	1587	291
169	1597	281
170	1607	272
171	1616	263
172	1626	253
173	1635	244
174	1644	234
175	1653	225
176	1663	216
177	1672	206
178	1682	197
179	1691	187
180	1700	178
181	1710	169
182	1719	159
183	1729	150
184	1738	140
185	1748	131
186	1757	122
187	1767	112
188	1777	103
189	1786	94
190	1794	84
191	1804	75
192	1813	65
193	1822	56
194	1832	46
195	1841	37
196	1850	28
197	1860	18
198	1869	9
199	1878	0
